text,label
"Lately, There is a deep sense of worthless.",depression
I feel so sad and worthless,depression
I have lost interest in depressed...,depression
I think I am feeling very lonely these days right now.,depression
I feel lonely and hopeless about the future to be honest.,depression
I feel miserable and hopeless about the future...,depression
"Honestly, I constantly feel worthless and tired man.",depression
"Lately, It's hard to get out of bed because I feel numb",depression
I feel depressed and hopeless about the future...,depression
"Lately, I constantly feel lonely and tired",depression
It's hard to get out of bed because I feel depressed...,depression
There is a deep sense of depressed,depression
I think It's hard to get out of bed because I feel gloomy.,depression
I think I have been feeling numb for weeks,depression
"Honestly, I constantly feel empty and tired.",depression
"Honestly, Everything feels so miserable right now.",depression
There is a deep sense of exhausted,depression
I feel sad and hopeless about the future man.,depression
"Honestly, I constantly feel miserable and tired.",depression
I have been feeling worthless for weeks...,depression
"Lately, It's hard to get out of bed because I feel gloomy.",depression
I feel down and hopeless about the future...,depression
"Lately, Everything feels so down to be honest.",depression
"Honestly, It's hard to get out of bed because I feel down to be honest.",depression
Everything feels so sad.,depression
It's hard to get out of bed because I feel miserable to be honest.,depression
"Lately, I feel hopeless and hopeless about the future",depression
It's hard to get out of bed because I feel lonely...,depression
I think I am exhausted to be honest.,depression
I am feeling very gloomy these days,depression
I have lost interest in gloomy.,depression
I constantly feel sad and tired...,depression
"Honestly, I feel numb and hopeless about the future right now.",depression
It's hard to get out of bed because I feel exhausted right now.,depression
"Honestly, I have been feeling hopeless for weeks",depression
"Honestly, I constantly feel lonely and tired.",depression
I think I am numb.,depression
It's hard to get out of bed because I feel gloomy,depression
I think I am feeling very empty these days,depression
I think I feel so sad and sad,depression
I am feeling very lonely these days,depression
There is a deep sense of lonely right now.,depression
"Lately, I am gloomy to be honest.",depression
There is a deep sense of empty man.,depression
"Honestly, I have been feeling hopeless for weeks.",depression
"Honestly, I feel so sad and exhausted to be honest.",depression
I think It's hard to get out of bed because I feel sad to be honest.,depression
I think I have been feeling down for weeks man.,depression
I think I constantly feel hopeless and tired to be honest.,depression
"Lately, I feel so sad and hopeless...",depression
"Honestly, I feel so sad and miserable",depression
"Honestly, I have been feeling worthless for weeks",depression
Everything feels so gloomy,depression
"Lately, It's hard to get out of bed because I feel gloomy",depression
"Lately, Everything feels so numb man.",depression
Everything feels so down right now.,depression
"Honestly, It's hard to get out of bed because I feel lonely to be honest.",depression
I feel depressed and hopeless about the future man.,depression
"Lately, Everything feels so empty...",depression
I feel so sad and numb,depression
"Lately, I feel lonely and hopeless about the future...",depression
"Lately, There is a deep sense of miserable right now.",depression
"Honestly, I constantly feel exhausted and tired",depression
I feel sad and hopeless about the future,depression
There is a deep sense of depressed man.,depression
There is a deep sense of lonely right now.,depression
I am feeling very gloomy these days man.,depression
I have been feeling sad for weeks.,depression
I feel exhausted and hopeless about the future,depression
I am feeling very hopeless these days to be honest.,depression
I feel empty and hopeless about the future,depression
I feel miserable and hopeless about the future...,depression
"Lately, I feel numb and hopeless about the future",depression
There is a deep sense of numb,depression
I think I feel depressed and hopeless about the future,depression
It's hard to get out of bed because I feel sad to be honest.,depression
I feel worthless and hopeless about the future,depression
"Honestly, I have lost interest in depressed to be honest.",depression
I think I feel so sad and sad.,depression
"Lately, I constantly feel miserable and tired to be honest.",depression
"Lately, I feel so sad and hopeless...",depression
I think It's hard to get out of bed because I feel hopeless,depression
"Lately, I have been feeling numb for weeks",depression
I feel sad and hopeless about the future.,depression
It's hard to get out of bed because I feel depressed right now.,depression
I constantly feel hopeless and tired to be honest.,depression
I feel gloomy and hopeless about the future right now.,depression
Everything feels so miserable,depression
I constantly feel worthless and tired right now.,depression
I have been feeling gloomy for weeks right now.,depression
I think It's hard to get out of bed because I feel miserable...,depression
I have lost interest in hopeless right now.,depression
"Lately, I have been feeling worthless for weeks",depression
I have lost interest in gloomy,depression
I think I feel so sad and empty.,depression
I constantly feel hopeless and tired,depression
"Lately, I constantly feel lonely and tired to be honest.",depression
"Lately, I am depressed",depression
"Honestly, I have been feeling gloomy for weeks man.",depression
I constantly feel empty and tired,depression
I am worthless,depression
I feel worthless and hopeless about the future,depression
I feel so sad and sad.,depression
I am hopeless...,depression
"Lately, I have lost interest in sad",depression
I think I have lost interest in depressed.,depression
I have been feeling lonely for weeks...,depression
I feel numb and hopeless about the future right now.,depression
I think I feel gloomy and hopeless about the future man.,depression
Everything feels so empty,depression
"Honestly, There is a deep sense of numb",depression
I have been feeling empty for weeks right now.,depression
There is a deep sense of depressed,depression
"Honestly, There is a deep sense of worthless...",depression
"Honestly, I have lost interest in gloomy",depression
It's hard to get out of bed because I feel exhausted to be honest.,depression
I have been feeling exhausted for weeks to be honest.,depression
I think I feel so sad and empty,depression
"Honestly, I feel so sad and hopeless",depression
I think I am miserable right now.,depression
"Honestly, I feel hopeless and hopeless about the future...",depression
"Lately, Everything feels so exhausted...",depression
"Honestly, I have been feeling numb for weeks to be honest.",depression
I am exhausted...,depression
I constantly feel gloomy and tired...,depression
"Honestly, I constantly feel depressed and tired",depression
"Honestly, I have lost interest in lonely right now.",depression
"Honestly, I am feeling very down these days man.",depression
It's hard to get out of bed because I feel down right now.,depression
I feel so sad and exhausted to be honest.,depression
I feel so sad and hopeless to be honest.,depression
I feel gloomy and hopeless about the future to be honest.,depression
Everything feels so worthless,depression
I have been feeling lonely for weeks,depression
I think I feel depressed and hopeless about the future,depression
I think I constantly feel numb and tired,depression
I feel hopeless and hopeless about the future man.,depression
I have lost interest in hopeless,depression
There is a deep sense of down.,depression
I think I feel gloomy and hopeless about the future.,depression
I feel so sad and miserable,depression
I am miserable.,depression
"Lately, I am miserable man.",depression
"Lately, I feel so sad and down man.",depression
I think I feel empty and hopeless about the future to be honest.,depression
"Honestly, Everything feels so miserable",depression
I think I feel gloomy and hopeless about the future,depression
"Honestly, I feel so sad and gloomy to be honest.",depression
Everything feels so exhausted,depression
I have been feeling exhausted for weeks man.,depression
There is a deep sense of worthless man.,depression
I think There is a deep sense of sad man.,depression
"Lately, I feel so sad and numb...",depression
"Lately, I feel so sad and lonely...",depression
"Lately, I have lost interest in down",depression
I feel sad and hopeless about the future to be honest.,depression
I think Everything feels so worthless.,depression
"Honestly, I feel so sad and down",depression
I think I feel so sad and down right now.,depression
I think I constantly feel hopeless and tired to be honest.,depression
I feel worthless and hopeless about the future,depression
"Lately, I have been feeling depressed for weeks to be honest.",depression
"Honestly, I feel so sad and numb...",depression
"Honestly, It's hard to get out of bed because I feel miserable...",depression
"Honestly, I have been feeling down for weeks.",depression
I think Everything feels so hopeless to be honest.,depression
"Lately, I constantly feel depressed and tired to be honest.",depression
I constantly feel worthless and tired,depression
I am lonely to be honest.,depression
There is a deep sense of lonely,depression
"Lately, Everything feels so gloomy.",depression
I feel so sad and lonely,depression
I think I have lost interest in depressed,depression
I have been feeling miserable for weeks man.,depression
It's hard to get out of bed because I feel depressed man.,depression
I feel so sad and lonely,depression
I have lost interest in lonely man.,depression
I think It's hard to get out of bed because I feel numb...,depression
"Lately, I feel so sad and depressed.",depression
I have been feeling miserable for weeks man.,depression
"Honestly, I have lost interest in hopeless.",depression
Everything feels so hopeless.,depression
I am down...,depression
"Honestly, I have lost interest in down to be honest.",depression
It's hard to get out of bed because I feel depressed right now.,depression
"Honestly, I have lost interest in exhausted to be honest.",depression
I am feeling very worthless these days,depression
"Honestly, I am hopeless.",depression
I am feeling very miserable these days.,depression
I think I am miserable,depression
I am numb to be honest.,depression
I am feeling very down these days,depression
It's hard to get out of bed because I feel lonely,depression
"Honestly, I am miserable man.",depression
"Lately, There is a deep sense of sad right now.",depression
I am feeling very empty these days.,depression
There is a deep sense of numb right now.,depression
I think I have lost interest in numb right now.,depression
I feel miserable and hopeless about the future right now.,depression
I think I have lost interest in hopeless to be honest.,depression
I am feeling very gloomy these days,depression
"Lately, It's hard to get out of bed because I feel sad right now.",depression
I feel down and hopeless about the future,depression
I think I have been feeling exhausted for weeks right now.,depression
I am down right now.,depression
I feel exhausted and hopeless about the future,depression
I have been feeling lonely for weeks,depression
There is a deep sense of depressed...,depression
I feel miserable and hopeless about the future...,depression
I feel hopeless and hopeless about the future to be honest.,depression
"Lately, I am miserable.",depression
"Honestly, I am feeling very exhausted these days.",depression
